Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Vincent Marchetti,374040,€2.00m,"Dec 15, 2025","Jul 4, 1997",28,1.78,France,[],Central Midfield,,Paris FC,,,"Jan 29, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,25/26,Ligue 1
Luca Koleosho,745461,€4.00m,"Dec 12, 2025","Sep 15, 2004",21,1.75,Italy,"['Italy', 'United States']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Paris FC,,,"Jan 9, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,25/26,Ligue 1
Arthur Vermeeren,926694,€22.00m,"Mar 27, 2026","Feb 7, 2005",21,1.8,Belgium,[],Defensive Midfield,,Marseille,,,"Aug 31, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",22000000.0,25/26,Ligue 1
Radoslaw Majecki,346546,€3.00m,"Mar 27, 2026","Nov 16, 1999",26,1.93,Poland,['Poland'],Goalkeeper,,Stade Brestois,,,"Aug 9, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,25/26,Ligue 1
Mathys Silistrie,979761,€200k,"Mar 27, 2026","Sep 16, 2005",20,,France,"['Guadeloupe', 'France']",Goalkeeper,,Stade Rennais,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,25/26,Ligue 1
Nhoa Sangui,955281,€9.00m,"Mar 27, 2026","Feb 27, 2006",20,1.78,France,[],Left-Back,,Paris FC,,,"Jul 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,25/26,Ligue 1
Allan Saint-Maximin,272642,€10.00m,"Dec 29, 2025","Mar 12, 1997",29,1.73,France,"['Guadeloupe', 'France']",Left Winger,"                0
0  Second Striker
1    Right Winger",Lens,,,"Feb 2, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
Bingourou Kamara,333175,€700k,"Dec 15, 2025","Oct 21, 1996",29,1.95,Senegal,"['Senegal', 'France']",Goalkeeper,,FC Lorient,,,"Jul 25, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",700000.0,25/26,Ligue 1
Gonçalo Ramos,550550,€35.00m,"Dec 15, 2025","Jun 20, 2001",24,1.85,Portugal,[],Centre-Forward,,PSG,,,"Jan 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",35000000.0,25/26,Ligue 1
Emmanuel Emegha,559328,€28.00m,"Dec 15, 2025","Feb 3, 2003",23,1.96,Netherlands,[],Centre-Forward,,R. Strasbourg,,,"Jul 22, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",28000000.0,25/26,Ligue 1
Philipp Köhn,251322,€4.00m,"Dec 15, 2025","Apr 2, 1998",28,1.9,Switzerland,"['Switzerland', 'Germany']",Goalkeeper,,Monaco,,,"Jul 15, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,25/26,Ligue 1
Kojo Peprah Oppong,1113451,€10.00m,"Mar 27, 2026","Jun 4, 2004",21,1.85,Ghana,[],Centre-Back,,Nice,,,"Jul 25, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
Lilian Brassier,485960,€12.00m,"Mar 27, 2026","Nov 2, 1999",26,1.86,France,"['Togo', 'France']",Centre-Back,"           0
0  Left-Back",Stade Rennais,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",12000000.0,25/26,Ligue 1
Hákon Arnar Haraldsson,652275,€22.00m,"Dec 15, 2025","Apr 10, 2003",23,1.78,Iceland,[],Attacking Midfield,,Lille,,,"Jul 17, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",22000000.0,25/26,Ligue 1
Mohamed Kaba,911328,€2.00m,"Mar 27, 2026","Oct 27, 2001",24,1.85,Guinea,[],Central Midfield,,FC Nantes,,,"Jan 29, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,25/26,Ligue 1
Marquinhos,181767,€30.00m,"Dec 15, 2025","May 14, 1994",31,1.83,Brazil,"['Portugal', 'Brazil']",Centre-Back,"                    0
0  Defensive Midfield
1          Right-Back",PSG,,,"Jul 19, 2013","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",30000000.0,25/26,Ligue 1
Bradley Locko,805908,€7.00m,"Dec 15, 2025","May 6, 2002",23,1.8,France,[],Left-Back,,Stade Brestois,,,"Jul 27, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",7000000.0,25/26,Ligue 1
Mahamadou Nagida,1176345,€6.00m,"Mar 27, 2026","Jun 28, 2005",20,1.76,Cameroon,[],Left-Back,,Stade Rennais,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",6000000.0,25/26,Ligue 1
Ciro Immobile,105521,€2.00m,"Dec 23, 2025","Feb 20, 1990",36,1.85,Italy,['Italy'],Centre-Forward,,Paris FC,,,"Feb 1, 2026","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,25/26,Ligue 1
Ilan Jourdren,1200424,,,"Jul 17, 2008",17,1.88,France,['France'],Goalkeeper,,Lens,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,25/26,Ligue 1
Samir Chergui,668167,€3.00m,"Dec 15, 2025","Feb 6, 1999",27,1.85,Algeria,"['Algeria', 'France']",Centre-Back,"                    0
0          Right-Back
1  Defensive Midfield",Paris FC,,,"Jan 1, 2021",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,25/26,Ligue 1
Philipp Köhn,251322,€4.00m,"Dec 15, 2025","Apr 2, 1998",28,1.9,Switzerland,[],Goalkeeper,,Monaco,,,"Jul 15, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,25/26,Ligue 1
Ally Samatta,182201,€800k,"Dec 15, 2025","Dec 23, 1992",33,1.83,Tanzania,[],Centre-Forward,,Le Havre AC,,,"Aug 5, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",800000.0,25/26,Ligue 1
Tylel Tati,1241207,€25.00m,"Mar 27, 2026","Jan 19, 2008",18,1.92,France,"['Senegal', 'France']",Centre-Back,"                    0
0  Defensive Midfield
1           Left-Back",FC Nantes,,,"Aug 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",25000000.0,25/26,Ligue 1
Sofiane Alakouch,434358,€200k,"Dec 15, 2025","Jul 29, 1998",27,1.75,Morocco,[],Right-Back,,Paris FC,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,25/26,Ligue 1
Alexsandro,648020,€18.00m,"Mar 27, 2026","Aug 9, 1999",26,1.91,Brazil,['Brazil'],Centre-Back,,Lille,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",18000000.0,25/26,Ligue 1
Mahdi Camara,324795,€10.00m,"Dec 15, 2025","Jun 30, 1998",27,1.76,France,[],Central Midfield,,Stade Rennais,,,"Aug 13, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
Ethan Mbappé,903666,€9.00m,"Dec 15, 2025","Dec 29, 2006",19,1.8,France,"['Cameroon', 'France']",Right Winger,"                    0
0  Attacking Midfield
1    Central Midfield",Lille,,,"Jul 4, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,25/26,Ligue 1
Ismaëlo Ganiou,1020191,€10.00m,"Mar 27, 2026","Mar 14, 2005",21,1.82,France,"['Burkina Faso', 'France']",Centre-Back,"            0
0  Right-Back",Lens,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
Aron Dønnum,476836,€5.00m,"Dec 15, 2025","Apr 20, 1998",27,1.78,Norway,[],Right Midfield,,Toulouse,,,"Sep 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,25/26,Ligue 1
Benjamin Stambouli,127160,€300k,"Dec 15, 2025","Aug 13, 1990",35,1.8,France,[],Defensive Midfield,,FC Metz,,,"Sep 10, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,25/26,Ligue 1
Giorgi Tsitaishvili,419067,€2.50m,"Dec 15, 2025","Nov 18, 2000",25,1.71,Georgia,[],Left Winger,,FC Metz,,,"Jul 11, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,25/26,Ligue 1
Sambou Soumano,704270,€4.00m,"Dec 15, 2025","Jan 3, 2001",25,1.82,Senegal,[],Centre-Forward,,FC Lorient,,,"Jan 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,25/26,Ligue 1
Ali Abdi,211474,€2.50m,"Dec 15, 2025","Dec 20, 1993",32,1.83,Tunisia,[],Left-Back,,Nice,,,"Sep 2, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,25/26,Ligue 1
Fodé Ballo-Touré,296422,€1.00m,"Dec 15, 2025","Jan 3, 1997",29,1.82,Senegal,[],Left-Back,,FC Metz,,,"Sep 3, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,25/26,Ligue 1
Nuno Mendes,616341,€75.00m,"Dec 15, 2025","Jun 19, 2002",23,1.8,Portugal,['Portugal'],Left-Back,"               0
0  Left Midfield",PSG,,,"Jul 1, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",75000000.0,25/26,Ligue 1
Ousmane Dembélé,288230,€100.00m,"Dec 15, 2025","May 15, 1997",28,1.78,France,['France'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",PSG,,,"Aug 12, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",100000000.0,25/26,Ligue 1
Dro Fernández,1071596,€10.00m,"Dec 12, 2025","Jan 12, 2008",18,1.8,Spain,[],Attacking Midfield,,PSG,,,"Jan 26, 2026","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
Ethan Nwaneri,890719,€40.00m,"Dec 9, 2025","Mar 21, 2007",19,1.76,England,"['England', 'Nigeria']",Attacking Midfield,"                0
0    Right Winger
1  Centre-Forward",Marseille,,,"Jan 23, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",40000000.0,25/26,Ligue 1
Clinton Mata,187718,€3.00m,"Dec 15, 2025","Nov 7, 1992",33,1.8,Angola,"['Belgium', 'Angola']",Centre-Back,"                0
0      Right-Back
1  Right Midfield",Lyon,,,"Jul 6, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,25/26,Ligue 1
Hamza Igamane,885445,€18.00m,"Dec 15, 2025","Nov 2, 2002",23,1.81,Morocco,['Morocco'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Lille,,,"Aug 29, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",18000000.0,25/26,Ligue 1
Mamadou Sangaré,808348,€30.00m,"Mar 27, 2026","Jun 26, 2002",23,1.81,Mali,['Mali'],Central Midfield,"                    0
0  Attacking Midfield",Lens,,,"Aug 20, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",30000000.0,25/26,Ligue 1
Frank Magri,807689,€4.00m,"Dec 15, 2025","Sep 4, 1999",26,1.78,Cameroon,"['Cameroon', 'France']",Centre-Forward,"              0
0  Right Winger",Toulouse,,,"Jul 21, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,25/26,Ligue 1
Lucas Beraldo,872171,€20.00m,"Dec 15, 2025","Nov 24, 2003",22,1.86,Brazil,[],Centre-Back,,PSG,,,"Jan 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",20000000.0,25/26,Ligue 1
Believe Munongo,1297673,€10.00m,"Mar 27, 2026","Nov 23, 2009",16,1.91,France,"['DR Congo', 'France']",Central Midfield,"                    0
0  Defensive Midfield
1         Centre-Back",FC Metz,,,"Jan 1, 2026","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
Lamine Camara,918969,€35.00m,"Mar 27, 2026","Jan 1, 2004",22,1.73,Senegal,['Senegal'],Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Monaco,,,"Jul 30, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",35000000.0,25/26,Ligue 1
Timothée Pembélé,538998,€2.00m,"Dec 9, 2025","Sep 9, 2002",23,1.83,France,[],Right-Back,,Le Havre AC,,,"Jan 6, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,25/26,Ligue 1
Martial Godo,992686,€18.00m,"Mar 27, 2026","Mar 14, 2003",23,1.77,Cote d'Ivoire,[],Left Winger,,R. Strasbourg,,,"Sep 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",18000000.0,25/26,Ligue 1
Valentín Barco,849410,€35.00m,"Mar 27, 2026","Jul 23, 2004",21,1.7,Argentina,[],Central Midfield,,R. Strasbourg,,,"Jul 2, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",35000000.0,25/26,Ligue 1
Mamadou Coulibaly,745173,€15.00m,"Mar 27, 2026","Apr 21, 2004",21,1.79,France,[],Central Midfield,,Monaco,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",15000000.0,25/26,Ligue 1
Rudy Matondo,1241211,€15.00m,"Mar 27, 2026","Mar 13, 2008",18,1.8,France,[],Central Midfield,,Paris FC,,,"Feb 2, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",15000000.0,25/26,Ligue 1
Prosper Peter,1103958,€15.00m,"Mar 27, 2026","Aug 9, 2007",18,1.88,France,"['Nigeria', 'France']",Centre-Forward,,Angers SCO,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",15000000.0,25/26,Ligue 1
Rémy Cabella,113707,€1.50m,"Dec 12, 2025","Mar 8, 1990",36,1.72,France,"['Italy', 'France']",Attacking Midfield,"              0
0  Right Winger
1   Left Winger",FC Nantes,,,"Jan 1, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,25/26,Ligue 1
Glen Kamara,242632,€2.50m,"Dec 15, 2025","Oct 28, 1995",30,1.78,Finland,"['Sierra Leone', 'Finland']",Central Midfield,"                    0
0  Defensive Midfield",Stade Rennais,,,"Jul 16, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,25/26,Ligue 1
Tiago Santos,816580,€12.00m,"Dec 15, 2025","Jul 23, 2002",23,1.75,Portugal,[],Right-Back,,Lille,,,"Jul 5, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",12000000.0,25/26,Ligue 1
Mathys de Carvalho,1004486,€4.00m,"Dec 15, 2025","May 1, 2005",20,1.83,Portugal,"['Portugal', 'France']",Defensive Midfield,,Lyon,,,"Jul 11, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,25/26,Ligue 1
Lassine Diarra,1071430,€50k,"Dec 15, 2025","Nov 11, 2002",23,1.9,Mali,['Mali'],Goalkeeper,,Olymp. Lyon B,,,"Nov 4, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,25/26,Ligue 1
Nicolás Tagliafico,131225,€5.00m,"Dec 15, 2025","Aug 31, 1992",33,1.71,Argentina,[],Left-Back,,Lyon,,,"Jul 23, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,25/26,Ligue 1
Marvin Senaya,830890,€3.00m,"Dec 15, 2025","Jan 28, 2001",25,1.81,Ghana,"['Ghana', 'France']",Right-Back,"                0
0  Right Midfield
1       Left-Back",AJ Auxerre,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,25/26,Ligue 1
Rafik Messali,883865,€1.50m,"Mar 27, 2026","Apr 28, 2003",22,1.77,Algeria,[],Right-Back,,Toulouse,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,25/26,Ligue 1
Yann Lienard,745341,€100k,"Dec 15, 2025","Mar 16, 2003",23,1.94,France,['France'],Goalkeeper,,Monaco,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",100000.0,25/26,Ligue 1
Mahamadou Nagida,1176345,€6.00m,"Mar 27, 2026","Jun 28, 2005",20,1.76,Cameroon,['Cameroon'],Left-Back,"               0
0  Left Midfield
1     Right-Back",Stade Rennais,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",6000000.0,25/26,Ligue 1
Marquinhos,181767,€30.00m,"Dec 15, 2025","May 14, 1994",31,1.83,Brazil,[],Centre-Back,,PSG,,,"Jul 19, 2013","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",30000000.0,25/26,Ligue 1
Théo De Percin,695422,€300k,"Dec 15, 2025","Feb 2, 2001",25,1.85,France,"['Martinique', 'France']",Goalkeeper,,AJ Auxerre,,,"Mar 17, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,25/26,Ligue 1
Danny Namaso,392767,€5.00m,"Dec 15, 2025","Aug 28, 2000",25,1.82,Cameroon,"['England', 'Cameroon']",Left Winger,"                    0
0      Centre-Forward
1  Attacking Midfield",AJ Auxerre,,,"Aug 17, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,25/26,Ligue 1
Wout Faes,292808,€10.00m,"Mar 27, 2026","Apr 3, 1998",28,1.87,Belgium,['Belgium'],Centre-Back,,Monaco,,,"Jan 13, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
Sofiane Boufal,232271,€2.00m,"Dec 10, 2025","Sep 17, 1993",32,1.75,Morocco,[],Attacking Midfield,,Le Havre AC,,,"Jan 14, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,25/26,Ligue 1
Jonathan Fischer,542452,€3.00m,"Dec 15, 2025","Nov 9, 2001",24,1.98,Denmark,['Denmark'],Goalkeeper,,FC Metz,,,"Jul 29, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,25/26,Ligue 1
Pathé Mboup,979551,€3.00m,"Dec 15, 2025","Oct 19, 2003",22,1.75,Senegal,['Senegal'],Left Winger,"                0
0    Right Winger
1  Second Striker",Stade Brestois,,,"Aug 31, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,25/26,Ligue 1
Bilal Nadir,659520,€9.00m,"Dec 15, 2025","Nov 28, 2003",22,1.79,Morocco,"['Morocco', 'France']",Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Marseille,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,25/26,Ligue 1
Leonardo Balerdi,575998,€18.00m,"Mar 27, 2026","Jan 26, 1999",27,1.87,Argentina,[],Centre-Back,,Marseille,,,"Jul 3, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",18000000.0,25/26,Ligue 1
Herba Guirassy,1119453,€8.00m,"Mar 27, 2026","Aug 29, 2006",19,1.86,France,"['Guinea', 'France']",Left Winger,"              0
0  Right Winger",FC Nantes,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",8000000.0,25/26,Ligue 1
Thomas Meunier,100986,€1.80m,"Dec 15, 2025","Sep 12, 1991",34,1.91,Belgium,[],Right-Back,,Lille,,,"Jul 19, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1800000.0,25/26,Ligue 1
Tyler Morton,618494,€25.00m,"Mar 27, 2026","Oct 31, 2002",23,1.85,England,['England'],Defensive Midfield,"                  0
0  Central Midfield",Lyon,,,"Aug 5, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",25000000.0,25/26,Ligue 1
Anthony Lopes,60561,€1.00m,"Dec 15, 2025","Oct 1, 1990",35,1.84,Portugal,"['Portugal', 'France']",Goalkeeper,,FC Nantes,,,"Jan 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,25/26,Ligue 1
Cristian Cásseres Jr.,467632,€9.00m,"Mar 27, 2026","Jan 20, 2000",26,1.76,Venezuela,['Venezuela'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Toulouse,,,"Jul 7, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,25/26,Ligue 1
Chidozie Awaziem,358143,€3.00m,"Dec 15, 2025","Jan 1, 1997",29,1.89,Nigeria,"['Portugal', 'Nigeria']",Centre-Back,"                    0
0  Defensive Midfield
1          Right-Back",FC Nantes,,,"Jul 23, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,25/26,Ligue 1
