Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Portu,99353,€1.50m,"Dec 12, 2025","May 21, 1992",33,1.67,Spain,['Spain'],Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",Girona,,,"Sep 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,22/23,La Liga
Dani Villahermosa,628496,€1.20m,"Mar 18, 2026","Jan 2, 2001",25,1.72,Spain,[],Central Midfield,,FC Andorra,,,"Feb 3, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,22/23,La Liga
Aitor Ruibal,378139,€4.00m,"Mar 16, 2026","Mar 22, 1996",30,1.76,Spain,[],Right Winger,,Real Betis,,,"Jul 1, 2019","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,22/23,La Liga
Antoine Griezmann,125781,€10.00m,"Mar 16, 2026","Mar 21, 1991",35,1.76,France,[],Second Striker,,Atlético,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,22/23,La Liga
Álvaro Bastida,882772,€200k,"Dec 30, 2025","May 12, 2004",21,1.79,Spain,['Spain'],Central Midfield,,Arenteiro,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,22/23,La Liga
Álex Fernández,89733,€400k,"Dec 30, 2025","Oct 15, 1992",33,1.83,Spain,[],Central Midfield,,Cádiz CF,,,"Aug 7, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",400000.0,22/23,La Liga
Borja Mayoral,298976,€7.50m,"Dec 12, 2025","Apr 5, 1997",29,1.82,Spain,['Spain'],Centre-Forward,,Getafe,,,"Aug 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",7500000.0,22/23,La Liga
Andoni Zubiaurre,428948,€275k,"Dec 9, 2025","Dec 4, 1996",29,1.89,Spain,['Spain'],Goalkeeper,,Johor DT,,,"Sep 5, 2024","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",275000.0,22/23,La Liga
Abde Damar,632562,€300k,"Mar 18, 2026","Feb 11, 2000",26,1.72,Morocco,['Morocco'],Left Winger,"              0
0  Right Winger",Zamora CF,,,"Jan 27, 2026","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,La Liga
Adrián Corral,708388,€50k,"Dec 30, 2025","Jan 5, 2003",23,1.79,Spain,[],Left-Back,,Atl. Madrileño,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,22/23,La Liga
David Torres,857832,€1.50m,"Dec 30, 2025","Mar 5, 2003",23,1.82,Spain,['Spain'],Centre-Back,"           0
0  Left-Back",Real Valladolid,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,22/23,La Liga
Mario de Luis,717952,€300k,"Mar 18, 2026","May 6, 2002",23,1.85,Spain,[],Goalkeeper,,Atl. Madrileño,,,"Jul 2, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,La Liga
Nando Almodóvar,930096,€50k,"Dec 30, 2025","Nov 3, 2003",22,1.92,Spain,['Spain'],Goalkeeper,,Real Avilés,,,"Jul 30, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,22/23,La Liga
Rubén Sobrino,85383,€400k,"Mar 18, 2026","Jun 1, 1992",33,1.85,Spain,['Spain'],Centre-Forward,"              0
0   Left Winger
1  Right Winger",CyD Leonesa,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",400000.0,22/23,La Liga
Alfonso Espino,311044,€1.00m,"Dec 12, 2025","Jan 5, 1992",34,1.72,Uruguay,[],Left-Back,,Rayo Vallecano,,,"Jul 17, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,22/23,La Liga
Alberto Flores,766552,€300k,"Dec 30, 2025","Nov 10, 2003",22,1.87,Spain,['Spain'],Goalkeeper,,Sevilla Atl.,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,La Liga
Mario Hermoso,281769,€7.00m,"Dec 23, 2025","Jun 18, 1995",30,1.84,Spain,[],Centre-Back,,Roma,,,"Sep 2, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",7000000.0,22/23,La Liga
Iñigo Ruiz de Galarreta,126751,€2.50m,"Dec 12, 2025","Aug 6, 1993",32,1.75,Spain,['Spain'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Athletic Club,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,22/23,La Liga
Victor Aznar,706797,€1.20m,"Dec 30, 2025","Oct 17, 2002",23,1.92,Brazil,[],Goalkeeper,,Cádiz CF,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,22/23,La Liga
Diego Collado,566965,€400k,"Dec 30, 2025","Jan 9, 2001",25,1.83,Spain,[],Left Winger,,CyD Leonesa,,,"Aug 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",400000.0,22/23,La Liga
Léo Baptistão,221899,€700k,"Mar 18, 2026","Aug 26, 1992",33,1.83,Brazil,"['Brazil', 'Spain']",Right Winger,"                0
0     Left Winger
1  Centre-Forward",UD Almería,,,"Aug 11, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",700000.0,22/23,La Liga
Álvaro Aguado,449496,€500k,"Apr 9, 2026","May 1, 1996",29,1.75,Spain,['Spain'],Central Midfield,"                    0
0  Attacking Midfield",Without Club,Espanyol,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",500000.0,22/23,La Liga
Óscar Plano,221309,€200k,"Dec 30, 2025","Feb 11, 1991",35,1.79,Spain,['Spain'],Attacking Midfield,"              0
0  Right Winger
1   Left Winger",CD Leganés,,,"Aug 6, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,22/23,La Liga
Edgar Badia,102146,€500k,"Dec 30, 2025","Feb 12, 1992",34,1.8,Spain,[],Goalkeeper,,CyD Leonesa,,,"Jul 2, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",500000.0,22/23,La Liga
Nicolas Jackson,776890,€40.00m,"Mar 20, 2026","Jun 20, 2001",24,1.87,Senegal,"['The Gambia', 'Senegal']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Bayern Munich,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",40000000.0,22/23,La Liga
Iñaki Peña,283170,€5.00m,"Mar 16, 2026","Mar 2, 1999",27,1.84,Spain,['Spain'],Goalkeeper,,Elche CF,,,"Aug 27, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Jaume Costa,65318,,,"Mar 18, 1988",38,1.71,Spain,['Spain'],Left-Back,,Retired,Albacete,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,La Liga
Daniel Carvajal,138927,€6.00m,"Mar 16, 2026","Jan 11, 1992",34,1.73,Spain,[],Right-Back,,Real Madrid,,,"Jul 1, 2013","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",6000000.0,22/23,La Liga
Étienne Capoue,63494,,,"Jul 11, 1988",37,1.89,France,"['Guadeloupe', 'France']",Defensive Midfield,"                  0
0  Central Midfield",Retired,Villarreal,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,La Liga
Eray Cömert,298583,€2.50m,"Mar 16, 2026","Feb 4, 1998",28,1.83,Switzerland,[],Centre-Back,,Valencia,,,"Jan 25, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,22/23,La Liga
Gorka Guruzeta,340205,€5.00m,"Dec 12, 2025","Sep 12, 1996",29,1.88,Spain,['Spain'],Centre-Forward,,Athletic Club,,,"Jul 3, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Maxi Gómez,396894,€2.00m,"Dec 18, 2025","Aug 14, 1996",29,1.86,Uruguay,['Uruguay'],Centre-Forward,,Nacional,,,"Jul 1, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,22/23,La Liga
Ilaix Moriba,617074,€10.00m,"Dec 12, 2025","Jan 19, 2003",23,1.85,Guinea,[],Central Midfield,,Celta de Vigo,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,22/23,La Liga
Manu Sánchez,618809,€6.00m,"Dec 12, 2025","Aug 24, 2000",25,1.71,Spain,['Spain'],Left-Back,"               0
0  Left Midfield",Levante,,,"Jul 25, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",6000000.0,22/23,La Liga
Hugo Duro,573775,€12.00m,"Dec 12, 2025","Nov 10, 1999",26,1.77,Spain,['Spain'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Valencia,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",12000000.0,22/23,La Liga
Jon Moncayola,552425,€7.00m,"Dec 12, 2025","May 13, 1998",27,1.82,Spain,['Spain'],Central Midfield,"                0
0  Right Midfield
1      Right-Back",CA Osasuna,,,"Jul 1, 2019","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",7000000.0,22/23,La Liga
Adnan Januzaj,177847,€1.20m,"Dec 12, 2025","Feb 5, 1995",31,1.86,Belgium,"['Kosovo', 'Belgium']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Sevilla FC,,,"Aug 31, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,22/23,La Liga
Reinildo Mandava,240692,€5.00m,"Dec 9, 2025","Jan 21, 1994",32,1.8,Mozambique,[],Left-Back,,Sunderland,,,"Jul 8, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Oihan Sancet,571020,€35.00m,"Mar 16, 2026","Apr 25, 2000",25,1.88,Spain,['Spain'],Attacking Midfield,"                  0
0  Central Midfield",Athletic Club,,,"Aug 4, 2020","Jun 30, 2032",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",35000000.0,22/23,La Liga
Clément Grenier,72479,,,"Jan 7, 1991",35,1.86,France,['France'],Central Midfield,"                    0
0  Attacking Midfield",Retired,Racing,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,La Liga
Ezequiel Ponce,296783,€5.00m,"Dec 11, 2025","Mar 29, 1997",29,1.81,Argentina,[],Centre-Forward,,Houston,,,"Jul 18, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Ander Martín,625658,€200k,"Mar 18, 2026","Nov 16, 2000",25,1.77,Spain,['Spain'],Right Winger,"             0
0  Left Winger",FC Cartagena,,,"Sep 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,22/23,La Liga
Mario Martín,948273,€10.00m,"Mar 16, 2026","Mar 5, 2004",22,1.77,Spain,[],Defensive Midfield,,Getafe,,,"Jul 29, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,22/23,La Liga
Jon Karrikaburu,711382,€2.00m,"Dec 12, 2025","Sep 19, 2002",23,1.83,Spain,['Spain'],Centre-Forward,,Real Sociedad,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,22/23,La Liga
Cyle Larin,343463,€3.50m,"Dec 2, 2025","Apr 17, 1995",30,1.88,Canada,[],Centre-Forward,,Southampton,,,"Feb 2, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3500000.0,22/23,La Liga
Egoitz Arana,711367,€100k,"Dec 30, 2025","Feb 19, 2002",24,1.97,Spain,[],Goalkeeper,,Real Sociedad B,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",100000.0,22/23,La Liga
Guido Rodríguez,342385,€5.00m,"Mar 16, 2026","Apr 12, 1994",32,1.85,Argentina,"['Argentina', 'Italy']",Defensive Midfield,"                  0
0  Central Midfield",Valencia,,,"Jan 26, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Loren Morón,354741,€2.50m,"Dec 12, 2025","Dec 30, 1993",32,1.85,Spain,['Spain'],Centre-Forward,,Aris Saloniki,,,"Jul 21, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,22/23,La Liga
Mario Maroto,710484,€200k,"Dec 30, 2025","Nov 28, 2003",22,1.76,Spain,['Spain'],Central Midfield,"                    0
0  Attacking Midfield",Real Valladolid,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,22/23,La Liga
Manu Bueno,766723,€1.50m,"Dec 12, 2025","Jul 27, 2004",21,1.78,Spain,[],Central Midfield,,Sevilla FC,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,22/23,La Liga
Carlos Soler,372246,€8.00m,"Dec 12, 2025","Jan 2, 1997",29,1.8,Spain,['Spain'],Central Midfield,"                    0
0      Right Midfield
1  Attacking Midfield",Real Sociedad,,,"Sep 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",8000000.0,22/23,La Liga
Luiz Henrique,800175,€24.00m,"Dec 16, 2025","Jan 2, 2001",25,1.82,Brazil,[],Right Winger,,Zenit S-Pb,,,"Jan 20, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",24000000.0,22/23,La Liga
Gabriel Paulista,149498,€700k,"Dec 17, 2025","Nov 26, 1990",35,1.85,Brazil,"['Brazil', 'Spain']",Centre-Back,,Corinthians,,,"Jan 12, 2026","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",700000.0,22/23,La Liga
Yuri Berchiche,61812,€1.20m,"Dec 12, 2025","Feb 10, 1990",36,1.81,Spain,[],Left-Back,,Athletic Club,,,"Jul 2, 2018","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,22/23,La Liga
Raúl García,34601,,,"Jul 11, 1986",39,1.84,Spain,['Spain'],Attacking Midfield,"                  0
0  Central Midfield
1    Centre-Forward",Retired,Athletic Club,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,La Liga
Sergio Akieme,355627,€5.00m,"Dec 11, 2025","Dec 16, 1997",28,1.75,Spain,"['Equatorial Guinea', 'Spain']",Left-Back,,Stade Reims,,,"Feb 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Junior Bita,938734,,,"Jun 8, 2005",20,1.82,Spain,[],Central Midfield,,NK Kustosija,,,"Sep 3, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,La Liga
Luca de la Torre,315762,€3.00m,"Dec 11, 2025","May 23, 1998",27,1.77,United States,[],Central Midfield,,Charlotte,,,"Jan 26, 2026","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,22/23,La Liga
